formula,target
LiCr3Ni(SO4)6,2.3309
Ba3Dy2(PS4)4,2.3736000000000006
Mn3V2O8,1.8164
Li4Fe3CuO8,0.05169999999999986
Ba2CaTeO6,2.9976
K2LiAsF6,4.5591
Ga2(MoO4)3,3.6554
Si7Tc4,1.0490999999999993
K2Mg2O3,2.888
RbBa4Sb3O,0.9396
Mg4Ta2O9,4.2059
Na3Co6Ag(P2O7)4,2.5414
K2PtCl6,1.8478
Ba2AlTl,0.8937000000000002
Sr2H6Ru,2.234900000000001
Na3BN2,1.6479
BaHfF6,7.1463
CsCu3GeSe4,0.6913
LaBO3,4.500700000000001
K2RbPrI6,3.1256000000000004
Ba6Tm2Ga4O15,3.5074000000000005
LiCuP4O11,0.3498999999999999
KMg14BO15,1.5430000000000001
Hg3As8(S4Br3)2,2.0132
La5Sm3Cr7FeO20,0.06299999999999972
Ba2LiReO6,1.8198000000000003
LiMn5O3F5,0.8525
InSnBr3,1.7489
Mn6OF11,1.1909
ZrZn2Au,0.053800000000000285
TbP2H9O11,5.1568000000000005
ZnBi2O5,0.2264
Na2LiYBr6,3.1247
S5(IO9)2,2.7553
EuSnP,0.033199999999999896
Na3TbTi2Nb2O12,2.6506000000000003
Na3Dy(Si2O5)3,4.5070000000000014
Li4Ti(TeO4)3,1.6475
Li5B(SO4)4,6.108199999999999
KNaH6PtC4N4O3,1.3944
Na4Ga3Si3BrO12,4.0513
Li8NiO5F,2.0822
C3Br2O,1.5331
LiNi2P4H3O14,4.3193
Li2Sn(SO4)2,3.9934
Tb2F15,0.5080000000000005
Sr2Al3FeO8,3.3707000000000003
AsCl3,3.9873
B5TeH5C,2.122
K4Pt2(SO4)5,1.7611
Li3Ti2CoO6,0.28000000000000025
TiFe2O5,1.9330000000000005
MgSi4WO10,2.217
LiMn5(CuO6)2,0.15409999999999968
BaLi4NiO4,2.6893
BaCo2Sn4O11,0.8888000000000007
K2La2B2O7,4.2027
LiFeF6,1.1739000000000002
NaV3P3O13,1.4266
NbPb2Se2ClO8,2.3684000000000003
AlGaN2,2.7177999999999995
ThTi2O6,2.9199
Te2Pb3(ClO3)2,2.6478
KCrNiOF6,0.8651
K3Y(BO3)2,3.1813
K2NaBP2,1.7743
BaV2O7,0.9129
BaTm2CoO5,2.059400000000001
Rb2ZnO2,1.5006
Ag2WS4,0.8692999999999997
Li2MgBr4,4.5262
Gd6CoBr10,0.017500000000000068
LaSeS,0.04210000000000047
RbNa2Al3Si3O13,0.1889
Na2Ca(CO3)2,4.447
Cs4U3Si4O17,0.0636000000000001
Rb6Ga10Se20O61,0.05299999999999999
MoWSe4,1.3687000000000005
RbAu3Se2,1.7326
CaMg14SnO16,0.7521000000000004
VS2N3Cl2,0.8613
Ce(Mo3Se4)2,0.06329999999999991
Ti(FeO2)3,1.2112000000000005
CdHg3C6S6(N3Cl)2,2.0621
SrPrAlO4,3.3658
Cs2SmCuCl6,2.4047
LuBi2IO4,1.9811
GaAgTe2,0.19269999999999987
Fe3C9(SO5)2,2.1731
PdF4,0.6701999999999999
ZnP3H16C3NO12,5.0680000000000005
Li4Ca3Nb6O20,1.3592
GdH6C4NO9,3.0599000000000003
LiNiCO4,0.5358999999999998
NbH12C4NO13,0.20619999999999994
Ba3Ta2CoO9,2.0795000000000003
SiAg6SO8,0.006299999999999972
CoSO10,0.12740000000000018
K(PO4)2,0.00439999999999996
Nd4MgSi4(C2O11)2,0.4337999999999997
TbMn2O5,1.0814999999999997
Li5Sb2P5O18,3.5081
Li4Nb5Cr3O16,0.04290000000000038
KRb2VF6,2.5191000000000003
Cs2YTlCl6,4.2353000000000005
LiFeH12(SO7)2,2.3468
La3Si2Cl3O7,4.1096
Nd4InSbS9,2.1495
Sc2TeO6,2.886
BaSrMgSi2O7,4.4989
LiCrPO5,0.17789999999999973
